wavelength	Species	transition	A_coeff	Eu(K)	comments	ref
4.080696068	H2	v=2,J=17->v=2,J=15	1.608E-06	30790.8		MEUDON
4.1707940	HI	6-13	8.272E+03	156869.4		CLOUDY
4.181077199	H2	v=0,J=13->v=0,J=11	9.633E-07	13702.6		MEUDON
4.223666262	H2	v=1,J=14->v=1,J=12	1.097E-06	20717.3		MEUDON
4.27	CO2ice	C-Ostretch			FWHM=20cm^(-1)A=7.6x10^(-17)cmmol^(-1)	OTHERS
4.29541670	HeI	3S-3Po1-0	1.070E+06	266986.1	Blnd30	CLOUDY
4.29591611	HeI	3S-3Po1-1	1.070E+06	266985.7	Blnd30	CLOUDY
4.29595667	HeI	3S-3Po1-2	1.070E+06	266985.7	Blnd30	CLOUDY
4.313669875	H2	v=2,J=15->v=2,J=13	1.140E-06	27265.0		MEUDON
4.3764544	HI	6-12	1.288E+04	156707.3		CLOUDY
4.409790972	H2	v=0,J=12->v=0,J=10	7.029E-07	11939.8		MEUDON
4.416610580	H2	v=1,J=13->v=1,J=11	8.418E-07	18979.1		MEUDON
4.6180	[KIII]	2Po-2Po3/2-1/2	1.180E-01	3115.6		CLOUDY
4.653778	HI	5-7	3.253E+05	154582.7		CLOUDY
4.67	COice	C-Ostretch			FWHM=9cm^(-1)A=1.1x10^(-17)cmmol^(-1)	OTHERS
4.672509	HI	6-11	2.110E+04	156498.9		CLOUDY
4.694613923	H2	v=0,J=11->v=0,J=9	4.900E-07	10261.4		MEUDON
4.8476918	HI	7-25	2.355E+02	157550.6		CLOUDY
4.954095222	H2	v=1,J=11->v=1,J=9	4.374E-07	15721.5		MEUDON
5.053115155	H2	v=0,J=10->v=0,J=8	3.236E-07	8677.1		MEUDON
5.128657	HI	6-10	3.688E+04	156225.1		CLOUDY
5.27	PAH				FWHM=0.	OTHERS
5.3401693	[FeII]	a6D-a4F9/2-9/2	0.000E+00	2694.3		CLOUDY
5.511183259	H2	v=0,J=9->v=0,J=7	2.001E-07	7196.7		MEUDON
5.70	PAH				FWHM=0.	OTHERS
5.908213	HI	6-9	7.065E+04	155854.9		CLOUDY
5.9568435	HI	7-14	5.156E+03	156998.0		CLOUDY
6.108563840	H2	v=0,J=8->v=0,J=6	1.142E-07	5829.8		MEUDON
6.22	PAH				FWHM=0.	OTHERS
6.291916	HI	7-13	7.846E+03	156869.4		CLOUDY
6.5009773	HI	8-25	2.123E+02	157550.6		CLOUDY
6.6360	[NiII]	2D-2D5/2-3/2	5.540E-02	2168.1		CLOUDY
6.771991	HI	7-12	1.250E+04	156707.3		CLOUDY
6.909508549	H2	v=0,J=7->v=0,J=5	5.879E-08	4586.1		MEUDON
6.985274	[ArII]	2Po-2Po3/2-1/2	4.225E-02	2059.7		CLOUDY
7.00	C60	T_{1u}(4)			FWHM=5.7cm^(-1)	OTHERS
7.42	PAH				FWHM=0.	OTHERS
7.4537427579	1HeI	3Fo-3G3-3	6.200E+04	280939.2	Blnd32	CLOUDY
7.4537597554	3HeI	3Fo-3G3-4	1.030E+06	280939.2	Blnd32	CLOUDY
7.4537598607	9HeI	3Fo-3G4-3	1.410E+03	280939.2	Blnd32	CLOUDY
7.4537679586	9HeI	3Fo-3G4-5	1.110E+06	280939.2	Blnd32	CLOUDY
7.4537768583	8HeI	3Fo-3G4-4	3.590E+04	280939.2	Blnd32	CLOUDY
7.4537843641	3HeI	3Fo-3G2-3	1.020E+06	280939.2	Blnd32	CLOUDY
7.459858	HI	5-6	1.025E+06	153419.7		CLOUDY
7.502493	HI	6-8	1.561E+05	155337.5		CLOUDY
7.508105	HI	7-11	2.117E+04	156498.9		CLOUDY
7.60	PAH				FWHM=0.	OTHERS
7.85	PAH				FWHM=0.	OTHERS
8.025041036	H2	v=0,J=6->v=0,J=4	2.643E-08	3474.5		MEUDON
8.45	C60	T_{1u}(3)			FWHM=3.	OTHERS
8.4849201	HI	9-25	1.950E+02	157550.6		CLOUDY
8.61	PAH				FWHM=0.	OTHERS
8.760064	HI	7-10	3.905E+04	156225.1		CLOUDY
8.99138	[ArIII]	3P-3P2-1	3.100E-02	1600.2		CLOUDY
9.664910918	H2	v=0,J=5->v=0,J=3	9.836E-09	2503.7		MEUDON
9.7	silicat	eSi-Ostrech			FWHM=10	OTHERS
10.503499	HI	8-12	1.287E+04	156707.3		CLOUDY
10.51049	[SIV]	2Po-2Po1/2-3/2	7.300E-03	1368.9		CLOUDY
10.6822	[NiII]	4F-4F9/2-7/2	2.710E-02	13423.8		CLOUDY
11.23	PAH				FWHM=0.	OTHERS
11.308695	HI	7-9	8.237E+04	155854.9		CLOUDY
11.33	PAH				FWHM=0.	OTHERS
11.888	[CoIII]	a4F-a4F9/2-7/2	2.010E-02	1210.3		CLOUDY
12.278611991	H2	v=0,J=4->v=0,J=2	2.755E-09	1681.6		MEUDON
12.371898	HI	6-7	4.561E+05	154582.7		CLOUDY
12.387168	HI	8-11	2.301E+04	156498.9		CLOUDY
12.62	PAH				FWHM=0.	OTHERS
12.69	PAH				FWHM=0.	OTHERS
12.813548	[NeII]	2Po-2Po3/2-1/2	8.321E-03	1122.8		CLOUDY
14.3678	[ClII]	3P-3P2-1	7.620E-03	1001.4		CLOUDY
15.021948731	HD	v=0,J=8->v=0,J=7	3.050E-05	4445.2		MEUDON
15.2	CO2ice	O-C-Obend			FWHM=2	OTHERS
15.55505	[NeIII]	3P-3P2-1	5.846E-03	925.0		CLOUDY
16.209104	HI	8-10	4.676E+04	156225.1		CLOUDY
16.45	PAH				FWHM=0.	OTHERS
16.893812428	HD	v=0,J=7->v=0,J=6	2.149E-05	3487.4		MEUDON
17.034845756	H2	v=0,J=3->v=0,J=1	4.761E-10	1015.1		MEUDON
17.35	C60	T_{1u}(2)			FWHM=3.	OTHERS
17.375	PAH				FWHM=0.	OTHERS
17.87	PAH				FWHM=0.	OTHERS
17.8846	[PIII]	2Po-2Po1/2-3/2	1.475E-03	804.5		CLOUDY
17.936026	[FeII]	a4F-a4F9/2-7/2	5.840E-03	3496.4		CLOUDY
18.	silicat	eO-Si-Obend			FWHM=	OTHERS
18.71303	[SIII]	3P-3P1-2	1.430E-03	1198.6		CLOUDY
18.98	C60	T_{1u}(1)			FWHM=3.	OTHERS
19.061898	HI	7-8	2.272E+05	155337.5		CLOUDY
19.430999971	HD	v=0,J=6->v=0,J=5	1.410E-05	2635.8		MEUDON
21.8291	[ArIII]	3P-3P1-0	5.190E-03	2259.3		CLOUDY
22.9250	[FeIII]	5D-5D4-3	2.800E-03	627.6		CLOUDY
23.033754580	HD	v=0,J=5->v=0,J=4	8.403E-06	1895.3		MEUDON
24.51919	[FeII]	a4F-a4F7/2-5/2	3.920E-03	4083.2		CLOUDY
25.2490	[SI]	3P-3P2-1	1.025E-03	569.8		MEUDON
25.8903	[OIV]	2Po-2Po1/2-3/2	5.220E-04	555.7		CLOUDY
25.988390	[FeII]	a6D-a6D9/2-7/2	2.130E-03	553.6		CLOUDY
27.803379	HI	8-9	1.233E+05	155854.9		CLOUDY
28.218843793	H2	v=0,J=2->v=0,J=0	2.943E-11	509.9		MEUDON
28.501968585	HD	v=0,J=4->v=0,J=3	4.364E-06	1270.7		MEUDON
