wavelength	Species	transition	A_coeff	Eu(K)	comments	ref
0.8779118905	HeI	3Po-3D2-2	1.440E+05	283374.3	Blnd4	CLOUDY
0.8779118994	HeI	3Po-3D2-3	5.780E+05	283374.3	Blnd4	CLOUDY
0.8779134596	HeI	3Po-3D1-1	2.410E+05	283374.3	Blnd4	CLOUDY
0.8779135842	HeI	3Po-3D1-2	4.330E+05	283374.3	Blnd4	CLOUDY
0.8779343196	HeI	3Po-3D0-1	3.210E+05	283374.3	Blnd4	CLOUDY
0.8865217	HI	3-11	3.156E+04	156498.9		CLOUDY
0.88943697	[FeII]	a4F-a4P7/2-3/2	2.210E-02	19672.7		CLOUDY
0.9017385	HI	3-10	5.156E+04	156225.1		CLOUDY
0.90544358	[FeII]	a4F-a4P7/2-5/2	0.000E+00	19386.7		CLOUDY
0.9065769918	HeI	3Po-3D2-1	2.300E+04	282856.1	Blnd5	CLOUDY
0.9065771811	HeI	3Po-3D2-2	2.070E+05	282856.1	Blnd5	CLOUDY
0.9065771945	HeI	3Po-3D2-3	8.270E+05	282856.1	Blnd5	CLOUDY
0.9065787979	HeI	3Po-3D1-1	3.450E+05	282856.1	Blnd5	CLOUDY
0.9065789872	HeI	3Po-3D1-2	6.200E+05	282856.1	Blnd5	CLOUDY
0.9066010424	HeI	3Po-3D0-1	4.600E+05	282856.1	Blnd5	CLOUDY
0.90711	[SIII]	3P-1D1-2	1.953E-02	16290.8		CLOUDY
0.9212853766	7HeI	3D-3Fo3-2	2.270E+03	283375.3	Blnd6	CLOUDY
0.9212854408	1HeI	3D-3Fo3-4	5.100E+05	283375.3	Blnd6	CLOUDY
0.9212854758	3HeI	3D-3Fo3-3	4.380E+04	283375.3	Blnd6	CLOUDY
0.9212855899	2HeI	3D-3Fo2-2	7.940E+04	283375.3	Blnd6	CLOUDY
0.9212856890	7HeI	3D-3Fo2-3	3.570E+05	283375.3	Blnd6	CLOUDY
0.9212893415	9HeI	3D-3Fo1-2	4.290E+05	283375.3	Blnd6	CLOUDY
0.92291587	[FeII]	a4F-a4P5/2-3/2	1.300E-02	19672.7		CLOUDY
0.9231547	HI	3-9	8.905E+04	155854.9		CLOUDY
0.946613295	HeI	3S-3Po1-0	5.690E+05	278835.7	Blnd7	CLOUDY
0.946618263	HeI	3S-3Po1-1	5.690E+05	278835.7	Blnd7	CLOUDY
0.946618669	HeI	3S-3Po1-2	5.690E+05	278835.7	Blnd7	CLOUDY
0.9519172717	HeI	3Po-3D2-1	3.460E+04	282100.2	Blnd8	CLOUDY
0.9519175834	HeI	3Po-3D2-2	3.110E+05	282100.2	Blnd8	CLOUDY
0.9519176052	HeI	3Po-3D2-3	1.240E+06	282100.2	Blnd8	CLOUDY
0.9519192630	HeI	3Po-3D1-1	5.180E+05	282100.2	Blnd8	CLOUDY
0.9519195746	HeI	3Po-3D1-2	9.330E+05	282100.2	Blnd8	CLOUDY
0.9519437881	HeI	3Po-3D0-1	6.910E+05	282100.2	Blnd8	CLOUDY
0.9528769688	2HeI	3D-3Fo3-2	3.380E+03	282857.6	Blnd9	CLOUDY
0.9528770665	3HeI	3D-3Fo3-4	7.610E+05	282857.6	Blnd9	CLOUDY
0.9528771215	4HeI	3D-3Fo3-3	6.460E+04	282857.6	Blnd9	CLOUDY
0.9528771969	4HeI	3D-3Fo2-2	1.180E+05	282857.6	Blnd9	CLOUDY
0.9528773496	6HeI	3D-3Fo2-3	5.270E+05	282857.6	Blnd9	CLOUDY
0.9528812103	2HeI	3D-3Fo1-2	6.400E+05	282857.6	Blnd9	CLOUDY
0.95332	[SIII]	3P-1D2-2	5.157E-02	16290.8		CLOUDY
0.9548590	HI	3-8	1.651E+05	155337.5		CLOUDY
0.985296	[CI]	3P-1D2-2	2.256E-04	14664.9		OBSERV
1.0030459945	8HeI	3D-3Fo3-2	5.420E+03	282102.4	Blnd10	CLOUDY
1.0030461562	1HeI	3D-3Fo3-4	1.220E+06	282102.4	Blnd10	CLOUDY
1.0030462473	5HeI	3D-3Fo2-2	1.900E+05	282102.4	Blnd10	CLOUDY
1.0030462513	4HeI	3D-3Fo3-3	1.020E+05	282102.4	Blnd10	CLOUDY
1.0030465041	1HeI	3D-3Fo2-3	8.290E+05	282102.4	Blnd10	CLOUDY
1.0030506944	6HeI	3D-3Fo1-2	1.020E+06	282102.4	Blnd10	CLOUDY
1.0052128	HI	3-7	3.359E+05	154582.7		CLOUDY
1.028955	[SII]	2Do-2Po3/2-3/2	1.146E-01	35352.9		CLOUDY
1.0314046967	HeI	3Po-3D2-1	5.540E+04	280935.4	Blnd11	CLOUDY
1.0314052782	HeI	3Po-3D2-2	4.990E+05	280935.3	Blnd11	CLOUDY
1.0314053185	HeI	3Po-3D2-3	2.000E+06	280935.3	Blnd11	CLOUDY
1.0314070344	HeI	3Po-3D1-1	8.310E+05	280935.4	Blnd11	CLOUDY
1.0314076159	HeI	3Po-3D1-2	1.500E+06	280935.3	Blnd11	CLOUDY
1.0314358264	HeI	3Po-3D0-1	1.110E+06	280935.4	Blnd11	CLOUDY
1.032332	[SII]	2Do-2Po5/2-3/2	1.563E-01	35352.9		CLOUDY
1.033924	[SII]	2Do-2Po3/2-1/2	1.431E-01	35285.7		CLOUDY
1.037334	[SII]	2Do-2Po5/2-1/2	6.866E-02	35285.7		CLOUDY
1.064141567	H2	v=2,J=9->v=0,J=7	3.385E-07	18106.6		MEUDON
1.068601	CI	3Po-3D1-2	1.255E+07	100298.1		OBSERV
1.068827	CI	3Po-3D0-1	9.288E+06	100267.6		OBSERV
1.069417	CI	3Po-3D2-3	1.669E+07	100346.1		OBSERV
1.071025	CI	3Po-3D1-1	6.923E+06	100267.6		OBSERV
1.071025	CI	3Po-3D1-1	6.923E+06	100267.6		OBSERV
1.071025	CI	3Po-3D1-1	6.923E+06	100267.6		OBSERV
1.0832057472	HeI	3S-3Po1-0	1.020E+07	243279.4	Blnd12	CLOUDY
1.0833216751	HeI	3S-3Po1-1	1.020E+07	243278.0	Blnd12	CLOUDY
1.0833306444	HeI	3S-3Po1-2	1.020E+07	243277.9	Blnd12	CLOUDY
1.085136757	H2	v=2,J=7->v=0,J=5	3.278E-07	15762.7		MEUDON
1.0915979253	7HeI	3D-3Fo3-2	9.620E+03	280938.7	Blnd13	CLOUDY
1.0915982247	4HeI	3D-3Fo2-2	3.370E+05	280938.7	Blnd13	CLOUDY
1.0915982294	0HeI	3D-3Fo3-4	2.160E+06	280938.7	Blnd13	CLOUDY
1.0915984206	1HeI	3D-3Fo3-3	1.760E+05	280938.7	Blnd13	CLOUDY
1.0915987199	8HeI	3D-3Fo2-3	1.440E+06	280938.7	Blnd13	CLOUDY
1.0916034917	2HeI	3D-3Fo1-2	1.820E+06	280938.7	Blnd13	CLOUDY
1.0920052543	1HeI	1D-1Fo2-3	1.610E+06	280938.7	Blnd14	CLOUDY
1.0941090	HI	3-6	7.783E+05	153419.7		CLOUDY
1.117483438	H2	v=2,J=5->v=0,J=3	2.768E-07	13890.2		MEUDON
1.147130	[PII]	3P-1D1-2	4.540E-03	12779.6		CLOUDY
1.162221030	H2	v=2,J=3->v=0,J=1	1.899E-07	12550.0		MEUDON
1.175145	CI	3D-3Fo1-2	2.012E+07	112511.1		OBSERV
1.175653	CI	3D-3Fo3-4	2.392E+07	112584.2		OBSERV
1.175800	CI	3D-3Fo2-3	2.125E+07	112534.7		OBSERV
1.178077	CI	3D-3Fo2-2	3.698E+06	112511.1		OBSERV
1.180431	CI	3D-3Fo3-3	2.626E+06	112534.7		OBSERV
1.182727	CI	3D-3Fo3-2	1.044E+05	112511.1		OBSERV
1.188610	[PII]	3P-1D2-2	1.248E-02	12779.6		CLOUDY
